Gene stable ID	Gene name	Protein stable ID
ENSDARG00000063344	fam162a	ENSDARP00000123357
ENSDARG00000063344	fam162a	ENSDARP00000114467
ENSDARG00000097685	si:ch211-235i11.3	ENSDARP00000128236
ENSDARG00000097685	si:ch211-235i11.3	ENSDARP00000140227
ENSDARG00000036008	caly	ENSDARP00000113342
ENSDARG00000069301	tmem177	ENSDARP00000091517
ENSDARG00000069301	tmem177	ENSDARP00000134056
ENSDARG00000104901	ostc	ENSDARP00000130235
ENSDARG00000031836	vps37c	ENSDARP00000067620
ENSDARG00000031836	vps37c	ENSDARP00000130690
ENSDARG00000103391	rab9b	ENSDARP00000140695
ENSDARG00000103391	rab9b	ENSDARP00000147450
ENSDARG00000030463	tppp3	ENSDARP00000117760
ENSDARG00000030463	tppp3	ENSDARP00000142986
ENSDARG00000030463	tppp3	ENSDARP00000143326
ENSDARG00000103031	znf1029	ENSDARP00000139734
ENSDARG00000103031	znf1029	ENSDARP00000135651
ENSDARG00000070447	slc39a9	ENSDARP00000094174
ENSDARG00000080018	kif16bb	ENSDARP00000099496
ENSDARG00000036109	mtx1b	ENSDARP00000052421
ENSDARG00000029612	gpkow	ENSDARP00000047911
ENSDARG00000075759	samd4a	ENSDARP00000129251
ENSDARG00000075759	samd4a	ENSDARP00000101105
ENSDARG00000068484	zgc:158270	
ENSDARG00000068484	zgc:158270	
ENSDARG00000068484	zgc:158270	
ENSDARG00000057635	dync2i2	ENSDARP00000074797
ENSDARG00000057635	dync2i2	ENSDARP00000111097
ENSDARG00000032737	gria3a	ENSDARP00000120731
ENSDARG00000032737	gria3a	ENSDARP00000049290
ENSDARG00000032737	gria3a	
ENSDARG00000053517	eml5	ENSDARP00000127915
ENSDARG00000053517	eml5	
ENSDARG00000053517	eml5	ENSDARP00000143477
ENSDARG00000111826	si:dkey-27d5.7	ENSDARP00000133378
ENSDARG00000111826	si:dkey-27d5.7	ENSDARP00000146599
ENSDARG00000111826	si:dkey-27d5.7	ENSDARP00000155435
ENSDARG00000098335	si:dkeyp-87d1.6	
ENSDARG00000092715	si:dkey-20d21.6	
ENSDARG00000095834	si:dkey-251i8.2	
ENSDARG00000015793	creb3l1	ENSDARP00000012411
ENSDARG00000015793	creb3l1	ENSDARP00000142646
ENSDARG00000015793	creb3l1	ENSDARP00000134652
ENSDARG00000044573	cdc42	ENSDARP00000129339
ENSDARG00000044573	cdc42	ENSDARP00000129719
ENSDARG00000044573	cdc42	ENSDARP00000149720
ENSDARG00000044573	cdc42	ENSDARP00000155235
ENSDARG00000025206	syt2a	
ENSDARG00000025206	syt2a	ENSDARP00000121161
ENSDARG00000025206	syt2a	ENSDARP00000144701
ENSDARG00000042189	tspan33b	ENSDARP00000119062
ENSDARG00000076270	adamts13	ENSDARP00000119445
ENSDARG00000076270	adamts13	ENSDARP00000143739
ENSDARG00000045415	gnal	ENSDARP00000123402
ENSDARG00000045415	gnal	ENSDARP00000066781
ENSDARG00000100099	si:dkey-238o14.1	ENSDARP00000130013
ENSDARG00000100099	si:dkey-238o14.1	ENSDARP00000130020
ENSDARG00000087916	tmem240a	ENSDARP00000105180
ENSDARG00000087916	tmem240a	ENSDARP00000122603
ENSDARG00000023058	foxo3a	ENSDARP00000036177
ENSDARG00000100738	osmr	ENSDARP00000133725
ENSDARG00000097888	si:ch211-197e18.1	
ENSDARG00000067711	parvg	ENSDARP00000088293
ENSDARG00000091834	si:ch211-198m17.1	ENSDARP00000108535
ENSDARG00000068468	dnah3	ENSDARP00000154573
ENSDARG00000068468	dnah3	ENSDARP00000120937
ENSDARG00000068468	dnah3	ENSDARP00000144738
ENSDARG00000101806	or30bu1	ENSDARP00000133585
ENSDARG00000105445	si:ch211-190h11.2	
ENSDARG00000105445	si:ch211-190h11.2	
ENSDARG00000105445	si:ch211-190h11.2	
ENSDARG00000105445	si:ch211-190h11.2	
ENSDARG00000078805	ap5b1	ENSDARP00000128763
ENSDARG00000078805	ap5b1	ENSDARP00000097975
ENSDARG00000058893	nhej1	ENSDARP00000124126
ENSDARG00000058893	nhej1	ENSDARP00000139501
ENSDARG00000058893	nhej1	
ENSDARG00000088881	si:dkeyp-69b9.3	ENSDARP00000118767
ENSDARG00000095893	si:dkey-85n7.7	ENSDARP00000124597
ENSDARG00000095893	si:dkey-85n7.7	
ENSDARG00000095893	si:dkey-85n7.7	ENSDARP00000127365
ENSDARG00000095893	si:dkey-85n7.7	ENSDARP00000127112
ENSDARG00000062376	nlgn3b	ENSDARP00000084604
ENSDARG00000039490	pitpnaa	ENSDARP00000122708
ENSDARG00000039490	pitpnaa	ENSDARP00000057256
ENSDARG00000039490	pitpnaa	ENSDARP00000057696
ENSDARG00000020986	ctu1	ENSDARP00000134794
ENSDARG00000020986	ctu1	ENSDARP00000009303
ENSDARG00000098626	nitr12	ENSDARP00000138081
ENSDARG00000098626	nitr12	ENSDARP00000142865
ENSDARG00000098626	nitr12	ENSDARP00000142917
ENSDARG00000089187	wfdc2	ENSDARP00000105933
ENSDARG00000101165	si:dkey-157e10.8	ENSDARP00000131435
ENSDARG00000003175	stx5al	ENSDARP00000114359
ENSDARG00000003175	stx5al	ENSDARP00000023330
ENSDARG00000074846	arhgap30	ENSDARP00000153237
ENSDARG00000074846	arhgap30	ENSDARP00000099476
ENSDARG00000026759	ldlrb	ENSDARP00000141207
ENSDARG00000026759	ldlrb	ENSDARP00000126428
ENSDARG00000026759	ldlrb	ENSDARP00000126465
ENSDARG00000098213	si:ch211-59m15.1	
ENSDARG00000098213	si:ch211-59m15.1	
ENSDARG00000033099	kif7	ENSDARP00000041576
ENSDARG00000033099	kif7	
ENSDARG00000096970	si:ch211-137i24.14	
ENSDARG00000096970	si:ch211-137i24.14	
ENSDARG00000024184	narf	
ENSDARG00000024184	narf	ENSDARP00000118342
ENSDARG00000024184	narf	ENSDARP00000004610
ENSDARG00000076901	si:ch211-220m6.5	
ENSDARG00000009341	nrap	ENSDARP00000111635
ENSDARG00000009341	nrap	ENSDARP00000107517
ENSDARG00000100546	or41a1	ENSDARP00000141511
ENSDARG00000090804	gpr155a	ENSDARP00000153319
ENSDARG00000090804	gpr155a	ENSDARP00000112722
ENSDARG00000016977	snx27b	ENSDARP00000011221
ENSDARG00000058538	alcamb	ENSDARP00000091978
ENSDARG00000102175	hamp	ENSDARP00000131567
ENSDARG00000102175	hamp	ENSDARP00000130038
ENSDARG00000018153	nt5c1ba	ENSDARP00000115075
ENSDARG00000054533	araf	ENSDARP00000071167
ENSDARG00000054533	araf	ENSDARP00000118701
ENSDARG00000054533	araf	ENSDARP00000135192
ENSDARG00000054533	araf	ENSDARP00000118602
ENSDARG00000054533	araf	ENSDARP00000071158
ENSDARG00000054533	araf	ENSDARP00000112713
ENSDARG00000092243	si:ch211-163b2.2	
ENSDARG00000038154	isca2	ENSDARP00000128847
ENSDARG00000038154	isca2	ENSDARP00000055610
ENSDARG00000036420	si:dkey-33c9.6	ENSDARP00000142661
ENSDARG00000036420	si:dkey-33c9.6	ENSDARP00000142678
ENSDARG00000036420	si:dkey-33c9.6	ENSDARP00000052905
ENSDARG00000098726	rptor	ENSDARP00000154154
ENSDARG00000098726	rptor	ENSDARP00000154260
ENSDARG00000098726	rptor	ENSDARP00000132117
ENSDARG00000098726	rptor	ENSDARP00000130300
ENSDARG00000098677	si:dkeyp-120g4.1	ENSDARP00000141572
ENSDARG00000098677	si:dkeyp-120g4.1	ENSDARP00000130837
ENSDARG00000098677	si:dkeyp-120g4.1	ENSDARP00000155718
ENSDARG00000098677	si:dkeyp-120g4.1	ENSDARP00000156013
ENSDARG00000096511	si:dkey-71h2.4	
ENSDARG00000037652	ints15	ENSDARP00000054842
ENSDARG00000037652	ints15	ENSDARP00000119765
ENSDARG00000027963	camkva	ENSDARP00000153285
ENSDARG00000027963	camkva	ENSDARP00000127692
ENSDARG00000097726	si:ch211-149e23.4	ENSDARP00000129393
ENSDARG00000105456		
ENSDARG00000095680	si:ch211-122l14.8	
ENSDARG00000011821	plod2	ENSDARP00000097266
ENSDARG00000011821	plod2	
ENSDARG00000011821	plod2	ENSDARP00000012147
ENSDARG00000011821	plod2	
ENSDARG00000095576	si:ch211-122l14.7	ENSDARP00000117632
ENSDARG00000035875	tmem54b	ENSDARP00000052085
ENSDARG00000057074	rpgrb	ENSDARP00000109241
ENSDARG00000057074	rpgrb	ENSDARP00000083057
ENSDARG00000075181	crfb16	ENSDARP00000090421
ENSDARG00000075181	crfb16	ENSDARP00000112934
ENSDARG00000077950	tor1	ENSDARP00000122316
