Hsa Gene ID	Hsa Protein ID	Hsa Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSP00000354687	ENSG00000198888	MT-ND1	ENSPKIP00000004424	ENSPKIG00000021541	
ENSP00000354632	ENSG00000198899	MT-ATP6	ENSPKIP00000022691	ENSPKIG00000006609	
ENSP00000482514	ENSG00000278817		ENSPKIP00000006589	ENSPKIG00000022804	dgcr6
ENSP00000478035	ENSG00000276345		ENSPKIP00000013807	ENSPKIG00000001102	mrpl23
ENSP00000493835	ENSG00000281766	RYBP	ENSPKIP00000004474	ENSPKIG00000021549	rybpb
ENSP00000516858	ENSG00000291382	CPLANE2	ENSPKIP00000013906	ENSPKIG00000001159	cplane2
ENSP00000518167	ENSG00000292224	ASPN	ENSPKIP00000010390	ENSPKIG00000025130	aspn
ENSP00000516842	ENSG00000291379	SZRD1	ENSPKIP00000015870	ENSPKIG00000002425	SZRD1
ENSP00000499988	ENSG00000288512	C1R	ENSPKIP00000024735	ENSPKIG00000007866	c1r
ENSP00000500294	ENSG00000288186	PPP1R27	ENSPKIP00000023541	ENSPKIG00000007133	ppp1r27a
ENSP00000486120	ENSG00000280689	BORCS5	ENSPKIP00000011837	ENSPKIG00000018764	borcs5
ENSP00000487443	ENSG00000280858	RPL7A	ENSPKIP00000003048	ENSPKIG00000020710	RPL7A
ENSP00000487370	ENSG00000281024	SURF2	ENSPKIP00000019510	ENSPKIG00000004651	surf2
ENSP00000486049	ENSG00000280951	SURF4	ENSPKIP00000023845	ENSPKIG00000007323	SURF4
ENSP00000486065	ENSG00000280706	REXO4	ENSPKIP00000009801	ENSPKIG00000024761	rexo4
ENSP00000494079	ENSG00000281879	ABO	ENSPKIP00000035561	ENSPKIG00000014468	
ENSP00000516890	ENSG00000291426	TOLLIP	ENSPKIP00000011826	ENSPKIG00000018751	tollip
ENSP00000486878	ENSG00000281665	KIAA1143	ENSPKIP00000035296	ENSPKIG00000014317	zgc:77056
ENSP00000487390	ENSG00000280548	FBL	ENSPKIP00000000231	ENSPKIG00000018971	fbl
ENSP00000500298	ENSG00000288292	CLDN7	ENSPKIP00000015892	ENSPKIG00000002436	cldn7a
ENSP00000500563	ENSG00000288325	GPS2	ENSPKIP00000014730	ENSPKIG00000001693	GPS2
ENSP00000494976	ENSG00000285377	EMC9	ENSPKIP00000023993	ENSPKIG00000007416	emc9
ENSP00000491711	ENSG00000283771	TMEM256	ENSPKIP00000031973	ENSPKIG00000012256	TMEM256
ENSP00000516945	ENSG00000291483	DUSP11	ENSPKIP00000024147	ENSPKIG00000007515	dusp11
ENSP00000496420	ENSG00000285246	NEDD8	ENSPKIP00000027335	ENSPKIG00000009445	nedd8
ENSP00000494562	ENSG00000285182	FNBP4	ENSPKIP00000033945	ENSPKIG00000013476	fnbp4
ENSP00000495490	ENSG00000285379	RIPK3	ENSPKIP00000031305	ENSPKIG00000011831	
ENSP00000518355	ENSG00000284807	DHRS4	ENSPKIP00000011676	ENSPKIG00000018642	dhrs4
ENSP00000516996	ENSG00000291520	NXNL2	ENSPKIP00000003635	ENSPKIG00000021060	nxnl2
ENSP00000494635	ENSG00000284850	DCP1B	ENSPKIP00000012884	ENSPKIG00000000520	dcp1b
ENSP00000500767	ENSG00000288362	CYP11A1	ENSPKIP00000034682	ENSPKIG00000013911	cyp11a1.2
ENSP00000500266	ENSG00000288408	UBL7	ENSPKIP00000037360	ENSPKIG00000015562	ubl7a
ENSP00000487197	ENSG00000280975	CENATAC	ENSPKIP00000041390	ENSPKIG00000017953	cenatac
ENSP00000486392	ENSG00000280831	RPS25	ENSPKIP00000022917	ENSPKIG00000006739	RPS25
ENSP00000488659	ENSG00000282739	SLC25A26	ENSPKIP00000006343	ENSPKIG00000022646	
ENSP00000500630	ENSG00000288411	SAA1	ENSPKIP00000011552	ENSPKIG00000018589	saa
ENSP00000517083	ENSG00000291596	COX5B	ENSPKIP00000019961	ENSPKIG00000004916	cox5b2
ENSP00000500901	ENSG00000288146	NOC4L	ENSPKIP00000040895	ENSPKIG00000017628	noc4l
ENSP00000491438	ENSG00000284103	DUS4L	ENSPKIP00000038805	ENSPKIG00000016429	dus4l
ENSP00000490977	ENSG00000283852	BCAP29	ENSPKIP00000012671	ENSPKIG00000000395	
ENSP00000518371	ENSG00000288475	CASP8AP2	ENSPKIP00000011351	ENSPKIG00000018485	casp8ap2
ENSP00000517221	ENSG00000291712	RNF135	ENSPKIP00000020405	ENSPKIG00000005202	
ENSP00000493830	ENSG00000284774	HSF1	ENSPKIP00000002444	ENSPKIG00000020336	HSF1
ENSP00000517281	ENSG00000291745	MED10	ENSPKIP00000008932	ENSPKIG00000024227	MED10
ENSP00000517282	ENSG00000291747	UBE2QL1	ENSPKIP00000008924	ENSPKIG00000024222	ube2ql1
ENSP00000517288	ENSG00000291756	HAPLN2	ENSPKIP00000029026	ENSPKIG00000010436	hapln2
ENSP00000518217	ENSG00000292251	GPATCH4	ENSPKIP00000028419	ENSPKIG00000010081	gpatch4
ENSP00000494227	ENSG00000285243	SLC39A4	ENSPKIP00000002072	ENSPKIG00000020105	
ENSP00000495408	ENSG00000285339	VPS28	ENSPKIP00000014591	ENSPKIG00000001607	vps28
ENSP00000516999	ENSG00000291523	RWDD2B	ENSPKIP00000016963	ENSPKIG00000003077	rwdd2b
ENSP00000517339	ENSG00000291796	APEX1	ENSPKIP00000017701	ENSPKIG00000003504	apex1
ENSP00000517542	ENSG00000291917	GPRC5C	ENSPKIP00000029641	ENSPKIG00000010810	GPRC5C
ENSP00000365080	ENSG00000204442	NALF1	ENSPKIP00000030985	ENSPKIG00000011657	nalf1a
ENSP00000366694	ENSG00000178695	KCTD12	ENSPKIP00000021879	ENSPKIG00000006101	kctd12.1
ENSP00000245312	ENSG00000125255	SLC10A2	ENSPKIP00000033985	ENSPKIG00000013467	slc10a2
ENSP00000267294	ENSG00000139800	ZIC5	ENSPKIP00000020021	ENSPKIG00000004954	zic5
ENSP00000304331	ENSG00000169840	GSX1	ENSPKIP00000011658	ENSPKIG00000018655	
ENSP00000334216	ENSG00000186009	ATP4B	ENSPKIP00000025107	ENSPKIG00000008098	
ENSP00000368402	ENSG00000180332	KCTD4	ENSPKIP00000024182	ENSPKIG00000007537	kctd4
ENSP00000426528	ENSG00000165566	AMER2	ENSPKIP00000010109	ENSPKIG00000024954	amer2
ENSP00000284885	ENSG00000154646	TMPRSS15	ENSPKIP00000000605	ENSPKIG00000019201	tmprss15
ENSP00000366144	ENSG00000125285	SOX21	ENSPKIP00000021907	ENSPKIG00000006125	sox21b
ENSP00000491834	ENSG00000284099	SQSTM1	ENSPKIP00000036790	ENSPKIG00000015230	sqstm1
ENSP00000333490	ENSG00000183463	URAD	ENSPKIP00000025601	ENSPKIG00000008419	urad
ENSP00000382783	ENSG00000156284	CLDN8	ENSPKIP00000017204	ENSPKIG00000003223	cldn8.2
ENSP00000489438	ENSG00000282986	EIF3K	ENSPKIP00000024228	ENSPKIG00000007558	EIF3K
ENSP00000492334	ENSG00000283887	LTC4S	ENSPKIP00000037089	ENSPKIG00000015412	ltc4s
