Eel Gene ID	Eel Protein ID	Eel Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSEEEP00000014221	ENSEEEG00000007066		ENSPKIP00000020473	ENSPKIG00000005238	
ENSEEEP00000038873	ENSEEEG00000018441	mia	ENSPKIP00000026917	ENSPKIG00000009197	mia
ENSEEEP00000035334	ENSEEEG00000016826	FBXO22	ENSPKIP00000025517	ENSPKIG00000008362	fbxo22
ENSEEEP00000008687	ENSEEEG00000004510	zgc:171844	ENSPKIP00000022326	ENSPKIG00000006377	pik3r6a
ENSEEEP00000036932	ENSEEEG00000017538	SMPDL3A	ENSPKIP00000033694	ENSPKIG00000013305	smpdl3a
ENSEEEP00000025375	ENSEEEG00000012315	ZBTB1	ENSPKIP00000019399	ENSPKIG00000004589	zbtb1
ENSEEEP00000040500	ENSEEEG00000019184	steap4	ENSPKIP00000006452	ENSPKIG00000022725	steap4
ENSEEEP00000002424	ENSEEEG00000001422	stk17al	ENSPKIP00000001287	ENSPKIG00000019636	stk17al
ENSEEEP00000056407	ENSEEEG00000027858	si:ch211-106h11.3	ENSPKIP00000023731	ENSPKIG00000007248	si:ch211-106h11.3
ENSEEEP00000040726	ENSEEEG00000019302	MRPL22	ENSPKIP00000028071	ENSPKIG00000009864	mrpl22
ENSEEEP00000022573	ENSEEEG00000010964	TBX19	ENSPKIP00000005651	ENSPKIG00000022234	tbx19
ENSEEEP00000050512	ENSEEEG00000023748	GGNBP2	ENSPKIP00000038757	ENSPKIG00000016390	ggnbp2
ENSEEEP00000002793	ENSEEEG00000001604	EMC10	ENSPKIP00000004090	ENSPKIG00000021320	emc10
ENSEEEP00000047002	ENSEEEG00000022124	CD6	ENSPKIP00000019375	ENSPKIG00000004573	
ENSEEEP00000014224	ENSEEEG00000007068	bbs10	ENSPKIP00000016109	ENSPKIG00000002580	BBS10
ENSEEEP00000014218	ENSEEEG00000007061	her6	ENSPKIP00000018071	ENSPKIG00000003768	her6
ENSEEEP00000004523	ENSEEEG00000002356	TM2D3	ENSPKIP00000002015	ENSPKIG00000020067	tm2d3
ENSEEEP00000061388	ENSEEEG00000025969	thbs3b	ENSPKIP00000022632	ENSPKIG00000006557	
ENSEEEP00000064161	ENSEEEG00000028478	TAGLN	ENSPKIP00000026391	ENSPKIG00000008895	tagln
ENSEEEP00000050979	ENSEEEG00000023942	TXN2	ENSPKIP00000023710	ENSPKIG00000007230	txn2
ENSEEEP00000060300	ENSEEEG00000015766	PISD	ENSPKIP00000040125	ENSPKIG00000017188	PISD
ENSEEEP00000039990	ENSEEEG00000018961	SCFD2	ENSPKIP00000017638	ENSPKIG00000003465	scfd2
ENSEEEP00000053262	ENSEEEG00000027663	NFKBIB	ENSPKIP00000012341	ENSPKIG00000000163	nfkbib
ENSEEEP00000008049	ENSEEEG00000004198	rfx4	ENSPKIP00000009776	ENSPKIG00000024742	rfx4
ENSEEEP00000038880	ENSEEEG00000018442	BICDL2	ENSPKIP00000027064	ENSPKIG00000009277	bicdl2
ENSEEEP00000015928	ENSEEEG00000007881	ier2a	ENSPKIP00000019344	ENSPKIG00000004550	ier2a
ENSEEEP00000047193	ENSEEEG00000022217	PPP1R27	ENSPKIP00000023541	ENSPKIG00000007133	ppp1r27a
ENSEEEP00000039124	ENSEEEG00000018580	FIS1	ENSPKIP00000023023	ENSPKIG00000006754	FIS1
ENSEEEP00000007713	ENSEEEG00000004041	SLC25A17	ENSPKIP00000037097	ENSPKIG00000015399	
ENSEEEP00000029228	ENSEEEG00000014005	STARD5	ENSPKIP00000003761	ENSPKIG00000021124	stard5
ENSEEEP00000004746	ENSEEEG00000002482	EIF6	ENSPKIP00000007423	ENSPKIG00000023303	EIF6
ENSEEEP00000038905	ENSEEEG00000018447	TOMM40L	ENSPKIP00000027160	ENSPKIG00000009333	TOMM40L
ENSEEEP00000030911	ENSEEEG00000014793	EXOSC3	ENSPKIP00000012050	ENSPKIG00000025606	exosc3
ENSEEEP00000050513	ENSEEEG00000023751	PIGW	ENSPKIP00000038846	ENSPKIG00000016463	pigw
ENSEEEP00000033140	ENSEEEG00000015768	si:ch211-202f5.3	ENSPKIP00000040152	ENSPKIG00000017236	si:ch211-202f5.3
ENSEEEP00000036924	ENSEEEG00000017535		ENSPKIP00000033498	ENSPKIG00000013171	
ENSEEEP00000022575	ENSEEEG00000010965	IQCB1	ENSPKIP00000015178	ENSPKIG00000001976	iqcb1
ENSEEEP00000007714	ENSEEEG00000004043	DXO	ENSPKIP00000037017	ENSPKIG00000015371	DXO
ENSEEEP00000033143	ENSEEEG00000015769	RNF224	ENSPKIP00000040257	ENSPKIG00000017299	rnf224
ENSEEEP00000052691	ENSEEEG00000026477	RASL11B	ENSPKIP00000017704	ENSPKIG00000003511	rasl11b
ENSEEEP00000039125	ENSEEEG00000018583	ARHGEF15	ENSPKIP00000021756	ENSPKIG00000006030	arhgef15b
ENSEEEP00000030913	ENSEEEG00000014796	NUDT22	ENSPKIP00000035163	ENSPKIG00000014224	nudt22
ENSEEEP00000036922	ENSEEEG00000017534	NKAIN2	ENSPKIP00000033328	ENSPKIG00000013082	nkain2
ENSEEEP00000047188	ENSEEEG00000022214	MCRIP1	ENSPKIP00000022132	ENSPKIG00000006258	MCRIP1
ENSEEEP00000040719	ENSEEEG00000026925	SGCD	ENSPKIP00000027941	ENSPKIG00000009791	sgcd
ENSEEEP00000038914	ENSEEEG00000018464	UFC1	ENSPKIP00000027216	ENSPKIG00000009366	ufc1
ENSEEEP00000036918	ENSEEEG00000017532	RNF217	ENSPKIP00000033248	ENSPKIG00000013026	rnf217
ENSEEEP00000046653	ENSEEEG00000021969	capns1a	ENSPKIP00000036830	ENSPKIG00000015255	capns1b
ENSEEEP00000053363	ENSEEEG00000025739	RANGRF	ENSPKIP00000015055	ENSPKIG00000001893	rangrf
ENSEEEP00000022579	ENSEEEG00000010966	ccdc14	ENSPKIP00000012043	ENSPKIG00000025623	CCDC14
ENSEEEP00000039681	ENSEEEG00000018819	hprt1l	ENSPKIP00000028617	ENSPKIG00000010177	hprt1l
ENSEEEP00000047183	ENSEEEG00000022212	ALYREF	ENSPKIP00000023445	ENSPKIG00000007070	
ENSEEEP00000014213	ENSEEEG00000007060		ENSPKIP00000001121	ENSPKIG00000019532	
ENSEEEP00000060806	ENSEEEG00000014880	ANKRA2	ENSPKIP00000000973	ENSPKIG00000019426	ankra2
ENSEEEP00000008036	ENSEEEG00000004195	RIC8B	ENSPKIP00000009722	ENSPKIG00000024699	ric8b
ENSEEEP00000039132	ENSEEEG00000018586	SLC25A35	ENSPKIP00000015004	ENSPKIG00000001860	slc25a35
ENSEEEP00000057827	ENSEEEG00000024970	MINDY3	ENSPKIP00000010759	ENSPKIG00000025352	mindy3
ENSEEEP00000008697	ENSEEEG00000004513	ANKRD40	ENSPKIP00000023700	ENSPKIG00000007226	ankrd40
ENSEEEP00000056736	ENSEEEG00000004801	MED25	ENSPKIP00000003351	ENSPKIG00000020895	med25
ENSEEEP00000046649	ENSEEEG00000021967	ALKBH6	ENSPKIP00000037009	ENSPKIG00000015358	alkbh6
ENSEEEP00000033396	ENSEEEG00000015778	PRPF4	ENSPKIP00000040224	ENSPKIG00000017259	prpf4
ENSEEEP00000056671	ENSEEEG00000029041	ARHGDIA	ENSPKIP00000022065	ENSPKIG00000006214	arhgdia
ENSEEEP00000015722	ENSEEEG00000007789	ALKBH7	ENSPKIP00000020146	ENSPKIG00000005035	alkbh7
ENSEEEP00000056727	ENSEEEG00000016351	EPHB1	ENSPKIP00000030719	ENSPKIG00000011477	EPHB1
ENSEEEP00000037337	ENSEEEG00000017749	rnf214	ENSPKIP00000036598	ENSPKIG00000015107	
ENSEEEP00000036909	ENSEEEG00000017530	TPD52L1	ENSPKIP00000033135	ENSPKIG00000012956	tpd52l1
ENSEEEP00000039134	ENSEEEG00000018589	FBXW2	ENSPKIP00000009509	ENSPKIG00000024600	fbxw2
ENSEEEP00000038937	ENSEEEG00000018478	FDXACB1	ENSPKIP00000027264	ENSPKIG00000009407	fdxacb1
ENSEEEP00000007182	ENSEEEG00000003642	TBXAS1	ENSPKIP00000038977	ENSPKIG00000016505	tbxas1
ENSEEEP00000047179	ENSEEEG00000022208	CDR2L	ENSPKIP00000021914	ENSPKIG00000006128	CDR2L
ENSEEEP00000040009	ENSEEEG00000018971	SPATA18	ENSPKIP00000019232	ENSPKIG00000004474	spata18
ENSEEEP00000006498	ENSEEEG00000028026		ENSPKIP00000003683	ENSPKIG00000021082	
ENSEEEP00000039697	ENSEEEG00000018828	WWOX	ENSPKIP00000013255	ENSPKIG00000000751	wwox
ENSEEEP00000035160	ENSEEEG00000016731	C8G	ENSPKIP00000010478	ENSPKIG00000025185	c8g
ENSEEEP00000040010	ENSEEEG00000018973	SGCB	ENSPKIP00000019173	ENSPKIG00000004440	sgcb
ENSEEEP00000004759	ENSEEEG00000002490	ZC3H10	ENSPKIP00000023581	ENSPKIG00000007158	zc3h10
ENSEEEP00000063653	ENSEEEG00000028060	b4galt1l	ENSPKIP00000012058	ENSPKIG00000025614	b4galt1l
ENSEEEP00000038956	ENSEEEG00000018480	alg9	ENSPKIP00000027354	ENSPKIG00000009438	alg9
ENSEEEP00000037340	ENSEEEG00000017752	PAFAH1B2	ENSPKIP00000012055	ENSPKIG00000025616	pafah1b2
ENSEEEP00000001273	ENSEEEG00000000849	RPS27L	ENSPKIP00000024570	ENSPKIG00000007763	rps27l
ENSEEEP00000063232	ENSEEEG00000027820	CDC26	ENSPKIP00000040281	ENSPKIG00000017309	cdc26
ENSEEEP00000046640	ENSEEEG00000021959	MICU2	ENSPKIP00000034258	ENSPKIG00000013649	micu2
ENSEEEP00000004761	ENSEEEG00000002492	cox6c	ENSPKIP00000006853	ENSPKIG00000022977	cox6c
ENSEEEP00000036905	ENSEEEG00000017527	HDDC2	ENSPKIP00000033065	ENSPKIG00000012901	hddc2
ENSEEEP00000035161	ENSEEEG00000016732	MSRB2	ENSPKIP00000023217	ENSPKIG00000006931	
ENSEEEP00000055318	ENSEEEG00000024947	REST	ENSPKIP00000012066	ENSPKIG00000025685	rest
ENSEEEP00000033420	ENSEEEG00000015882	SLC31A1	ENSPKIP00000001344	ENSPKIG00000019675	SLC31A1
ENSEEEP00000033493	ENSEEEG00000015923	NOA1	ENSPKIP00000012073	ENSPKIG00000025654	noa1
ENSEEEP00000004764	ENSEEEG00000002493	TOMM34	ENSPKIP00000006822	ENSPKIG00000022953	tomm34
ENSEEEP00000040091	ENSEEEG00000018982	DCUN1D4	ENSPKIP00000019128	ENSPKIG00000004419	dcun1d4
ENSEEEP00000053031	ENSEEEG00000025417	ATP6V1G1	ENSPKIP00000040344	ENSPKIG00000017345	atp6v1g1
ENSEEEP00000036903	ENSEEEG00000017526	HEY2	ENSPKIP00000033012	ENSPKIG00000012879	hey2
