Dre Gene ID	Dre Protein ID	Dre Gene Name	Eel Gene ID	Eel Protein ID	Eel Gene Name
ENSDARP00000123357	ENSDARG00000063344	fam162a	ENSEEEP00000041799	ENSEEEG00000019770	FAM162A
ENSDARP00000113342	ENSDARG00000036008	caly	ENSEEEP00000052000	ENSEEEG00000024399	CALY
ENSDARP00000130235	ENSDARG00000104901	ostc	ENSEEEP00000039040	ENSEEEG00000018525	OSTC
ENSDARP00000067620	ENSDARG00000031836	vps37c	ENSEEEP00000005218	ENSEEEG00000002723	VPS37C
ENSDARP00000140695	ENSDARG00000103391	rab9b	ENSEEEP00000017581	ENSEEEG00000008684	RAB9B
ENSDARP00000117760	ENSDARG00000030463	tppp3	ENSEEEP00000045524	ENSEEEG00000021480	TPPP3
ENSDARP00000094174	ENSDARG00000070447	slc39a9	ENSEEEP00000010464	ENSEEEG00000005287	SLC39A9
ENSDARP00000052421	ENSDARG00000036109	mtx1b	ENSEEEP00000047473	ENSEEEG00000022338	mtx1b
ENSDARP00000047911	ENSDARG00000029612	gpkow	ENSEEEP00000004513	ENSEEEG00000002349	GPKOW
ENSDARP00000074797	ENSDARG00000057635	dync2i2	ENSEEEP00000044444	ENSEEEG00000020999	wdr34
ENSDARP00000012411	ENSDARG00000015793	creb3l1	ENSEEEP00000019315	ENSEEEG00000009385	CREB3L1
ENSDARP00000129339	ENSDARG00000044573	cdc42	ENSEEEP00000012720	ENSEEEG00000006360	CDC42
ENSDARP00000143739	ENSDARG00000076270	adamts13	ENSEEEP00000008348	ENSEEEG00000004355	
ENSDARP00000133725	ENSDARG00000100738	osmr	ENSEEEP00000055992	ENSEEEG00000025910	osmr
ENSDARP00000088293	ENSDARG00000067711	parvg	ENSEEEP00000006956	ENSEEEG00000003664	PARVG
ENSDARP00000133585	ENSDARG00000101806	or30bu1	ENSEEEP00000053959	ENSEEEG00000026668	or104-1
ENSDARP00000128763	ENSDARG00000078805	ap5b1	ENSEEEP00000061229	ENSEEEG00000026183	AP5B1
ENSDARP00000124126	ENSDARG00000058893	nhej1	ENSEEEP00000012435	ENSEEEG00000006244	NHEJ1
ENSDARP00000118767	ENSDARG00000088881	si:dkeyp-69b9.3	ENSEEEP00000026528	ENSEEEG00000012831	si:dkeyp-69b9.3
ENSDARP00000122708	ENSDARG00000039490	pitpnaa	ENSEEEP00000019758	ENSEEEG00000009665	pitpnaa
ENSDARP00000009303	ENSDARG00000020986	ctu1	ENSEEEP00000011774	ENSEEEG00000005926	ctu1
ENSDARP00000142917	ENSDARG00000098626	nitr12	ENSEEEP00000012922	ENSEEEG00000006485	
ENSDARP00000105933	ENSDARG00000089187	wfdc2	ENSEEEP00000018599	ENSEEEG00000009142	wfdc2
ENSDARP00000114359	ENSDARG00000003175	stx5al	ENSEEEP00000039739	ENSEEEG00000018840	stx5a
ENSDARP00000041576	ENSDARG00000033099	kif7	ENSEEEP00000034440	ENSEEEG00000016392	KIF7
ENSDARP00000131567	ENSDARG00000102175	hamp	ENSEEEP00000063752	ENSEEEG00000026891	HAMP
ENSDARP00000055610	ENSDARG00000038154	isca2	ENSEEEP00000012666	ENSEEEG00000006359	ISCA2
ENSDARP00000054842	ENSDARG00000037652	ints15	ENSEEEP00000025543	ENSEEEG00000012391	ints15
ENSDARP00000052085	ENSDARG00000035875	tmem54b	ENSEEEP00000031431	ENSEEEG00000015035	tmem54b
ENSDARP00000083057	ENSDARG00000057074	rpgrb	ENSEEEP00000057968	ENSEEEG00000026548	rpgrb
ENSDARP00000090421	ENSDARG00000075181	crfb16	ENSEEEP00000023169	ENSEEEG00000011235	crfb16
ENSDARP00000122316	ENSDARG00000077950	tor1	ENSEEEP00000012949	ENSEEEG00000025220	tor1
ENSDARP00000026766	ENSDARG00000003144	pxmp2	ENSEEEP00000043589	ENSEEEG00000020600	pxmp2
ENSDARP00000109245	ENSDARG00000016968	tmem214	ENSEEEP00000043793	ENSEEEG00000020691	TMEM214
ENSDARP00000107067	ENSDARG00000090063	fa2h	ENSEEEP00000034926	ENSEEEG00000016613	FA2H
ENSDARP00000043932	ENSDARG00000033789	ndufb7	ENSEEEP00000045099	ENSEEEG00000021294	NDUFB7
ENSDARP00000123927	ENSDARG00000017522	ctdp1	ENSEEEP00000041462	ENSEEEG00000019606	CTDP1
ENSDARP00000142417	ENSDARG00000045015	cyp27b1	ENSEEEP00000032485	ENSEEEG00000015460	CYP27B1
ENSDARP00000129176	ENSDARG00000045641	usp3	ENSEEEP00000002854	ENSEEEG00000001460	USP3
ENSDARP00000137373	ENSDARG00000103025	hmgcs1	ENSEEEP00000044248	ENSEEEG00000020904	HMGCS1
ENSDARP00000118703	ENSDARG00000052520	sgms2a	ENSEEEP00000023496	ENSEEEG00000011393	sgms2a
ENSDARP00000113168	ENSDARG00000018542	hapln4	ENSEEEP00000047674	ENSEEEG00000022435	HAPLN4
ENSDARP00000157677	ENSDARG00000074253	olig3	ENSEEEP00000018288	ENSEEEG00000008985	OLIG3
ENSDARP00000104039	ENSDARG00000062357	tafa1a	ENSEEEP00000023663	ENSEEEG00000011454	TAFA1
ENSDARP00000090253	ENSDARG00000068711	crfb4	ENSEEEP00000003043	ENSEEEG00000001728	EMB
ENSDARP00000105121	ENSDARG00000090854	lsm11	ENSEEEP00000035552	ENSEEEG00000016936	LSM11
ENSDARP00000073666	ENSDARG00000056683	cdk5	ENSEEEP00000001553	ENSEEEG00000001000	CDK5
ENSDARP00000123656	ENSDARG00000078567	lonrf1	ENSEEEP00000058908	ENSEEEG00000029076	lonrf1l
ENSDARP00000072928	ENSDARG00000029263	hoxb3a	ENSEEEP00000007588	ENSEEEG00000003961	hoxb3a
ENSDARP00000122329	ENSDARG00000042515	gpr176	ENSEEEP00000058534	ENSEEEG00000025737	GPR176
