Dre Gene ID	Dre Protein ID	Dre Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSDARP00000123357	ENSDARG00000063344	fam162a	ENSPKIP00000010427	ENSPKIG00000025151	fam162a
ENSDARP00000113342	ENSDARG00000036008	caly	ENSPKIP00000012731	ENSPKIG00000000434	caly
ENSDARP00000091517	ENSDARG00000069301	tmem177	ENSPKIP00000000670	ENSPKIG00000019251	tmem177
ENSDARP00000130235	ENSDARG00000104901	ostc	ENSPKIP00000013160	ENSPKIG00000000697	ostc
ENSDARP00000067620	ENSDARG00000031836	vps37c	ENSPKIP00000036414	ENSPKIG00000014997	vps37c
ENSDARP00000140695	ENSDARG00000103391	rab9b	ENSPKIP00000035816	ENSPKIG00000014623	rab9b
ENSDARP00000117760	ENSDARG00000030463	tppp3	ENSPKIP00000003614	ENSPKIG00000021042	tppp3
ENSDARP00000094174	ENSDARG00000070447	slc39a9	ENSPKIP00000017389	ENSPKIG00000003322	slc39a9
ENSDARP00000052421	ENSDARG00000036109	mtx1b	ENSPKIP00000033929	ENSPKIG00000013449	mtx1a
ENSDARP00000047911	ENSDARG00000029612	gpkow	ENSPKIP00000025569	ENSPKIG00000008382	gpkow
ENSDARP00000074797	ENSDARG00000057635	dync2i2	ENSPKIP00000035663	ENSPKIG00000014526	dync2i2
ENSDARP00000012411	ENSDARG00000015793	creb3l1	ENSPKIP00000032962	ENSPKIG00000012854	creb3l1
ENSDARP00000119062	ENSDARG00000042189	tspan33b	ENSPKIP00000018865	ENSPKIG00000004264	tspan33b
ENSDARP00000143739	ENSDARG00000076270	adamts13	ENSPKIP00000009331	ENSPKIG00000024467	adamts13
ENSDARP00000133725	ENSDARG00000100738	osmr	ENSPKIP00000037894	ENSPKIG00000015907	osmr
ENSDARP00000088293	ENSDARG00000067711	parvg	ENSPKIP00000005725	ENSPKIG00000022272	parvg
ENSDARP00000108535	ENSDARG00000091834	si:ch211-198m17.1	ENSPKIP00000005695	ENSPKIG00000022270	
ENSDARP00000133585	ENSDARG00000101806	or30bu1	ENSPKIP00000037718	ENSPKIG00000015781	
