Hsa Gene ID	Hsa Protein ID	Hsa Gene Name	Eel Gene ID	Eel Protein ID	Eel Gene Name
ENSP00000482514	ENSG00000278817		ENSEEEP00000010400	ENSEEEG00000005266	dgcr6
ENSP00000478035	ENSG00000276345		ENSEEEP00000027154	ENSEEEG00000013105	mrpl23
ENSP00000478289	ENSG00000275063		ENSEEEP00000008176	ENSEEEG00000004263	
ENSP00000493835	ENSG00000281766	RYBP	ENSEEEP00000059525	ENSEEEG00000026113	rybpb
ENSP00000516858	ENSG00000291382	CPLANE2	ENSEEEP00000012043	ENSEEEG00000006071	CPLANE2
ENSP00000518167	ENSG00000292224	ASPN	ENSEEEP00000016327	ENSEEEG00000008075	ASPN
ENSP00000516842	ENSG00000291379	SZRD1	ENSEEEP00000052930	ENSEEEG00000027806	SZRD1
ENSP00000499988	ENSG00000288512	C1R	ENSEEEP00000010554	ENSEEEG00000005353	C1R
ENSP00000486611	ENSG00000280680	HHAT	ENSEEEP00000022007	ENSEEEG00000010688	HHAT
ENSP00000500294	ENSG00000288186	PPP1R27	ENSEEEP00000047193	ENSEEEG00000022217	PPP1R27
ENSP00000486120	ENSG00000280689	BORCS5	ENSEEEP00000016055	ENSEEEG00000007953	BORCS5
ENSP00000485909	ENSG00000281309	SURF6	ENSEEEP00000031318	ENSEEEG00000014997	SURF6
ENSP00000487443	ENSG00000280858	RPL7A	ENSEEEP00000059316	ENSEEEG00000014979	RPL7A
ENSP00000487370	ENSG00000281024	SURF2	ENSEEEP00000036210	ENSEEEG00000017224	SURF2
ENSP00000486049	ENSG00000280951	SURF4	ENSEEEP00000051358	ENSEEEG00000024100	SURF4
ENSP00000486065	ENSG00000280706	REXO4	ENSEEEP00000042916	ENSEEEG00000020249	REXO4
ENSP00000487067	ENSG00000281165	SLC2A6	ENSEEEP00000044638	ENSEEEG00000021077	SLC2A6
ENSP00000494079	ENSG00000281879	ABO	ENSEEEP00000011250	ENSEEEG00000027711	
ENSP00000516890	ENSG00000291426	TOLLIP	ENSEEEP00000007519	ENSEEEG00000003932	TOLLIP
ENSP00000486878	ENSG00000281665	KIAA1143	ENSEEEP00000052460	ENSEEEG00000024572	zgc:77056
ENSP00000487390	ENSG00000280548	FBL	ENSEEEP00000023853	ENSEEEG00000011575	FBL
ENSP00000500298	ENSG00000288292	CLDN7	ENSEEEP00000002247	ENSEEEG00000001360	cldn7a
ENSP00000500563	ENSG00000288325	GPS2	ENSEEEP00000041736	ENSEEEG00000019741	GPS2
ENSP00000494976	ENSG00000285377	EMC9	ENSEEEP00000053733	ENSEEEG00000025297	EMC9
ENSP00000491711	ENSG00000283771	TMEM256	ENSEEEP00000002409	ENSEEEG00000001410	tmem256
