Species 1 Gene ID	Species 1 Protein ID	Species 1 Gene Name	Species 2 Gene ID	Species 2 Protein ID	Species 2 Gene NameENSDARG00000063344	ENSDARP00000123357	fam162a	ENSPKIG00000025151	ENSPKIP00000010427	fam162a
ENSDARG00000036008	ENSDARP00000113342	caly	ENSPKIG00000000434	ENSPKIP00000012731	caly
ENSDARG00000069301	ENSDARP00000091517	tmem177	ENSPKIG00000019251	ENSPKIP00000000670	tmem177
ENSDARG00000104901	ENSDARP00000130235	ostc	ENSPKIG00000000697	ENSPKIP00000013160	ostc
ENSDARG00000031836	ENSDARP00000067620	vps37c	ENSPKIG00000014997	ENSPKIP00000036414	vps37c
ENSDARG00000103391	ENSDARP00000140695	rab9b	ENSPKIG00000014623	ENSPKIP00000035816	rab9b
ENSDARG00000030463	ENSDARP00000117760	tppp3	ENSPKIG00000021042	ENSPKIP00000003614	tppp3
ENSDARG00000070447	ENSDARP00000094174	slc39a9	ENSPKIG00000003322	ENSPKIP00000017389	slc39a9
ENSDARG00000036109	ENSDARP00000052421	mtx1b	ENSPKIG00000013449	ENSPKIP00000033929	mtx1a
ENSDARG00000029612	ENSDARP00000047911	gpkow	ENSPKIG00000008382	ENSPKIP00000025569	gpkow
ENSDARG00000057635	ENSDARP00000074797	dync2i2	ENSPKIG00000014526	ENSPKIP00000035663	dync2i2
ENSDARG00000015793	ENSDARP00000012411	creb3l1	ENSPKIG00000012854	ENSPKIP00000032962	creb3l1
ENSDARG00000042189	ENSDARP00000119062	tspan33b	ENSPKIG00000004264	ENSPKIP00000018865	tspan33b
ENSDARG00000076270	ENSDARP00000143739	adamts13	ENSPKIG00000024467	ENSPKIP00000009331	adamts13
ENSDARG00000100738	ENSDARP00000133725	osmr	ENSPKIG00000015907	ENSPKIP00000037894	osmr
ENSDARG00000067711	ENSDARP00000088293	parvg	ENSPKIG00000022272	ENSPKIP00000005725	parvg
ENSDARG00000091834	ENSDARP00000108535	si:ch211-198m17.1	ENSPKIG00000022270	ENSPKIP00000005695	
ENSDARG00000101806	ENSDARP00000133585	or30bu1	ENSPKIG00000015781	ENSPKIP00000037718	
ENSDARG00000078805	ENSDARP00000128763	ap5b1	ENSPKIG00000019180	ENSPKIP00000000555	ap5b1
ENSDARG00000058893	ENSDARP00000124126	nhej1	ENSPKIG00000001066	ENSPKIP00000013748	nhej1
ENSDARG00000088881	ENSDARP00000118767	si:dkeyp-69b9.3	ENSPKIG00000012523	ENSPKIP00000032417	si:dkeyp-69b9.3
ENSDARG00000020986	ENSDARP00000009303	ctu1	ENSPKIG00000025122	ENSPKIP00000010377	CTU1
ENSDARG00000098626	ENSDARP00000142917	nitr12	ENSPKIG00000005732	ENSPKIP00000021280	nitr12
ENSDARG00000089187	ENSDARP00000105933	wfdc2	ENSPKIG00000018340	ENSPKIP00000011888	wfdc2
ENSDARG00000003175	ENSDARP00000114359	stx5al	ENSPKIG00000014020	ENSPKIP00000034863	stx5a
ENSDARG00000102175	ENSDARP00000131567	hamp	ENSPKIG00000000073	ENSPKIP00000012192	
ENSDARG00000038154	ENSDARP00000055610	isca2	ENSPKIG00000002527	ENSPKIP00000016024	isca2
ENSDARG00000036420	ENSDARP00000142678	si:dkey-33c9.6	ENSPKIG00000006978	ENSPKIP00000023312	si:dkey-33c9.6
ENSDARG00000037652	ENSDARP00000054842	ints15	ENSPKIG00000017941	ENSPKIP00000041370	ints15
ENSDARG00000097726	ENSDARP00000129393	si:ch211-149e23.4	ENSPKIG00000024228	ENSPKIP00000008936	
ENSDARG00000057074	ENSDARP00000083057	rpgrb	ENSPKIG00000021014	ENSPKIP00000003563	RPGR
ENSDARG00000075181	ENSDARP00000090421	crfb16	ENSPKIG00000012760	ENSPKIP00000032805	
ENSDARG00000077950	ENSDARP00000122316	tor1	ENSPKIG00000024662	ENSPKIP00000009614	tor1
ENSDARG00000003144	ENSDARP00000026766	pxmp2	ENSPKIG00000024833	ENSPKIP00000009923	pxmp2
ENSDARG00000016968	ENSDARP00000109245	tmem214	ENSPKIG00000013296	ENSPKIP00000033671	tmem214
ENSDARG00000090063	ENSDARP00000107067	fa2h	ENSPKIG00000015233	ENSPKIP00000036794	fa2h
ENSDARG00000033789	ENSDARP00000043932	ndufb7	ENSPKIG00000013028	ENSPKIP00000033241	ndufb7
ENSDARG00000017522	ENSDARP00000123927	ctdp1	ENSPKIG00000002733	ENSPKIP00000016395	ctdp1
ENSDARG00000045015	ENSDARP00000142417	cyp27b1	ENSPKIG00000005491	ENSPKIP00000020855	cyp27b1
ENSDARG00000045641	ENSDARP00000129176	usp3	ENSPKIG00000000507	ENSPKIP00000012874	usp3
ENSDARG00000103025	ENSDARP00000137373	hmgcs1	ENSPKIG00000019477	ENSPKIP00000001046	hmgcs1
ENSDARG00000104269	ENSDARP00000135337	si:ch211-271d10.2	ENSPKIG00000009661	ENSPKIP00000027716	si:ch211-271d10.2
ENSDARG00000052520	ENSDARP00000118703	sgms2a	ENSPKIG00000012756	ENSPKIP00000032803	sgms2a
ENSDARG00000018542	ENSDARP00000113168	hapln4	ENSPKIG00000024235	ENSPKIP00000008946	hapln4
ENSDARG00000074253	ENSDARP00000157677	olig3	ENSPKIG00000001548	ENSPKIP00000014501	olig3
ENSDARG00000062357	ENSDARP00000104039	tafa1a	ENSPKIG00000024695	ENSPKIP00000009688	tafa1a
ENSDARG00000068711	ENSDARP00000090253	crfb4	ENSPKIG00000005595	ENSPKIP00000021033	IL10RB
ENSDARG00000090854	ENSDARP00000105121	lsm11	ENSPKIG00000002386	ENSPKIP00000015799	lsm11
ENSDARG00000056683	ENSDARP00000073666	cdk5	ENSPKIG00000005046	ENSPKIP00000020182	cdk5
ENSDARG00000029263	ENSDARP00000072928	hoxb3a	ENSPKIG00000000431	ENSPKIP00000012723	hoxb3a
ENSDARG00000042515	ENSDARP00000122329	gpr176	ENSPKIG00000001930	ENSPKIP00000015094	gpr176
ENSDARG00000002355	ENSDARP00000129532	shpk	ENSPKIG00000019086	ENSPKIP00000000419	shpk
ENSDARG00000087798	ENSDARP00000119382	pdyn	ENSPKIG00000011685	ENSPKIP00000031016	pdyn
ENSDARG00000101106	ENSDARP00000136614	si:ch73-109d9.3	ENSPKIG00000016046	ENSPKIP00000038137	si:ch73-109d9.3
ENSDARG00000101085	ENSDARP00000141103	ss18l2	ENSPKIG00000000487	ENSPKIP00000012816	ss18l2
ENSDARG00000007250	ENSDARP00000024706	use1	ENSPKIG00000000876	ENSPKIP00000013432	use1
ENSDARG00000063574	ENSDARP00000109087	mtg2	ENSPKIG00000025173	ENSPKIP00000010456	mtg2
ENSDARG00000086471	ENSDARP00000107936	pkig	ENSPKIG00000011567	ENSPKIP00000030858	pkig
ENSDARG00000002377	ENSDARP00000094402	mief2	ENSPKIG00000014167	ENSPKIP00000035078	mief2
ENSDARG00000052129	ENSDARP00000123964	boka	ENSPKIG00000002794	ENSPKIP00000016484	boka
ENSDARG00000098029	ENSDARP00000127626	ciroz	ENSPKIG00000013365	ENSPKIP00000033809	ciroz
ENSDARG00000056740	ENSDARP00000073739	tmeff1b	ENSPKIG00000006973	ENSPKIP00000023284	tmeff1b
ENSDARG00000077253	ENSDARP00000098832	alkbh6	ENSPKIG00000015358	ENSPKIP00000037009	alkbh6
ENSDARG00000018871	ENSDARP00000004251	henmt1	ENSPKIG00000004845	ENSPKIP00000019824	henmt1
ENSDARG00000102608	ENSDARP00000134216	zgc:109986	ENSPKIG00000002034	ENSPKIP00000015253	zgc:109986
ENSDARG00000019156	ENSDARP00000017340	haus5	ENSPKIG00000016198	ENSPKIP00000038416	haus5
ENSDARG00000034734	ENSDARP00000044114	med6	ENSPKIG00000002417	ENSPKIP00000015849	med6
ENSDARG00000021913	ENSDARP00000118427	ak9	ENSPKIG00000013096	ENSPKIP00000033363	ak9
ENSDARG00000105120	ENSDARP00000130726	gab2	ENSPKIG00000014325	ENSPKIP00000035339	gab2
ENSDARG00000090814	ENSDARP00000115279	si:dkey-18a10.3	ENSPKIG00000001281	ENSPKIP00000014077	si:dkey-18a10.3
ENSDARG00000102434	ENSDARP00000133798	il12rb1	ENSPKIG00000006717	ENSPKIP00000022874	
ENSDARG00000039218	ENSDARP00000142379	gpr101	ENSPKIG00000017683	ENSPKIP00000040898	gpr101
ENSDARG00000020449	ENSDARP00000025545	yipf3	ENSPKIG00000009819	ENSPKIP00000028009	yipf3
ENSDARG00000038792	ENSDARP00000056654	klf17	ENSPKIG00000010936	ENSPKIP00000029855	klf17
ENSDARG00000003206	ENSDARP00000143276	chchd6a	ENSPKIG00000007988	ENSPKIP00000024928	chchd6a
ENSDARG00000078686	ENSDARP00000124659	arl8a	ENSPKIG00000005234	ENSPKIP00000020490	arl8a
ENSDARG00000009253	ENSDARP00000003814	rtraf	ENSPKIG00000015146	ENSPKIP00000036677	rtraf
ENSDARG00000062549	ENSDARP00000114101	acmsd	ENSPKIG00000011557	ENSPKIP00000030848	acmsd
ENSDARG00000037262	ENSDARP00000145630	cdkn2a/b	ENSPKIG00000017156	ENSPKIP00000040023	
ENSDARG00000037555	ENSDARP00000054688	atoh8	ENSPKIG00000005372	ENSPKIP00000020696	atoh8
ENSDARG00000038976	ENSDARP00000056892	pdcd7	ENSPKIG00000016945	ENSPKIP00000039682	pdcd7
ENSDARG00000102612	ENSDARP00000132430	slc15a4	ENSPKIG00000022377	ENSPKIP00000005891	slc15a4
ENSDARG00000075818	ENSDARP00000120631	dok2	ENSPKIG00000024935	ENSPKIP00000010084	dok2
ENSDARG00000055560	ENSDARP00000116348	p2ry8	ENSPKIG00000004374	ENSPKIP00000019040	p2ry8
ENSDARG00000024771	ENSDARP00000030499	slc24a5	ENSPKIG00000020692	ENSPKIP00000003037	slc24a5
ENSDARG00000092855	ENSDARP00000136938	srbd1	ENSPKIG00000021973	ENSPKIP00000005196	srbd1
ENSDARG00000100531	ENSDARP00000135162	abhd14b	ENSPKIG00000001528	ENSPKIP00000014486	abhd14b
ENSDARG00000055445	ENSDARP00000072270	slc22a15	ENSPKIG00000019581	ENSPKIP00000001308	slc22a15
ENSDARG00000052010	ENSDARP00000107862	ciao2b	ENSPKIG00000007575	ENSPKIP00000024248	ciao2b
ENSDARG00000098075	ENSDARP00000131054	sh3bgrl3	ENSPKIG00000022324	ENSPKIP00000005781	sh3bgrl3
ENSDARG00000069595	ENSDARP00000117940	prr36a	ENSPKIG00000007827	ENSPKIP00000024658	prr36a
ENSDARG00000055901	ENSDARP00000118847	steap4	ENSPKIG00000022725	ENSPKIP00000006452	steap4
ENSDARG00000023111	ENSDARP00000045815	plg	ENSPKIG00000014973	ENSPKIP00000037130	plg
ENSDARG00000057227	ENSDARP00000143305	matcap2	ENSPKIG00000010249	ENSPKIP00000028713	matcap2
ENSDARG00000043431	ENSDARP00000094997	qtgal	ENSPKIG00000005795	ENSPKIP00000021357	qtgal
ENSDARG00000029905	ENSDARP00000123099	phyhd1	ENSPKIG00000025327	ENSPKIP00000010715	phyhd1
ENSDARG00000077082	ENSDARP00000104107	agtrap	ENSPKIG00000004417	ENSPKIP00000019112	agtrap
ENSDARG00000077581	ENSDARP00000119233	zzz3	ENSPKIG00000009499	ENSPKIP00000027451	zzz3
ENSDARG00000018593	ENSDARP00000017949	parp16	ENSPKIG00000015906	ENSPKIP00000037919	parp16
